imdbid	rating	year	id	title	metacritic_score
0392728	0	1888	8040	Roundhay Garden Scene	NA
0000003	0	1892	5433	Pauvre Pierrot	NA
0132134	0	1895	6200	Execution of Mary, Queen of Scots, The	NA
0000014	0	1895	5444	Tables Turned on the Gardener	NA
0000131	0	1896	5406	Une nuit terrible	NA
0223341	0	1896	5445	La fee aux choux	NA
0000012	0	1896	6199	Arrival of a Train, The	NA
0000091	0	1896	4982	House of the Devil, The	NA
0000041	0	1897	9328	Bataille de neige	NA
0135696	0	1898	4978	Four Heads Are Better Than One	NA
0224240	0	1898	5411	Temptation of St. Anthony, The	NA
0000211	0	1898	5410	Astronomer&#39;s Dream; or, The Man in the Moon, The	NA
0000230	3	1899	5914	Cinderella	NA
0000246	0	1899	4994	A Turn of the Century Illusionist	NA
0000306	0	1900	4346	Hamlet ( Le Duel d&#39;Hamlet)	NA
0000313	0	1900	5438	Let Me Dream Again	NA
0291476	0	1900	1594	Sherlock Holmes Baffled	NA
0135453	0	1900	4993	One-Man Band, The	NA
0377995	0	1900	5069	Grandma Threading Her Needle	NA
0000300	0	1900	4271	Enchanted Drawing, The	NA
0257654	0	1900	4345	Explosion of a Motor Car (a.k.a The Dlights of Automobiling)	NA
0230746	0	1900	5072	Searching Ruins on Broadway, Galveston, for Dead Bodies	NA
0000272	0	1900	4344	As Seen Through A Telescope (a.k.a The Professor and His Field Glass)	NA
0227438	0	1900	5446	Doctor and the Monkey, The	NA
0000304	0	1900	4343	Grandma&#39;s Reading Glass	NA
0258104	0	1901	5437	Reve et realite	NA
0000359	0	1901	4995	L&#39;homme a la tete en caoutchouc	NA
0131934	0	1901	5500	Bluebeard	NA
0000417	0	1902	1252	Le voyage dans la lune	NA
0000413	0	1902	5443	Mephistopheles&#39; School of Magic	NA
0367177	0	1902	5432	Twentieth Century Tramp; or, Happy Hooligan and His Airship, The	NA
0229024	0	1902	5431	Gulliver&#39;s Travels	NA
0000439	0	1903	1319	Great Train Robbery, The	NA
0223755	0	1903	5064	Monster, The	NA
0189498	0	1903	5683	Enchanted Well, The	NA
0000455	0	1903	5063	Music Lover, The	NA
0135180	0	1903	5002	Infernal Boiling Pot, The	NA
0135631	0	1904	5601	Untamable Whiskers, The	NA
0215664	0	1904	5224	Cook in Trouble, The	NA
0135179	0	1904	5404	Living Playing Cards, The	NA
0000499	0	1904	6135	Le voyage a travers l&#39;impossible	NA
0135690	0	1905	5003	Scheming Gambler&#39;s Paradise, The	NA
0215575	0	1905	5602	Black Imp, The	NA
0000574	1	1906	1349	Story of the Kelly Gang, The	NA
0000567	0	1906	5684	400 Tricks of the Devil, The	NA
1260944	0	1906	7215	Consequence of Feminism, The	NA
0135122	0	1906	5603	Hilarious Posters, The	NA
0449172	0	1906	6206	A Funny Shave	NA
0000554	0	1906	5435	Humorous Phases of Funny Faces	NA
0216016	0	1906	5024	Mysterious Retort, The	NA
0215817	0	1907	5615	Good Glue Sticks	NA
0215737	0	1907	5223	Eclipse: Courtship of the Sun and Moon, The	NA
1802750	0	1908	6231	Unusual Cooking	NA
0277596	1	1909	6211	Le barometre de la fidelite	NA
0001009	2	1909	4409	Princess Nicotine; or, The Smoke Fairy	NA
0127948	0	1909	5635	Devilish Tenant, The	NA
1515725	0	1910	5685	A Trip to Mars	NA
0232821	3	1910	1464	Tilly the Tomboy Visits the Poor	NA
0486978	0	1910	4983	Mobilier fidele	NA
0002101	2	1912	2003	Cleopatra	NA
0277865	0	1912	5357	Max and the Donkey	NA
0002281	0	1912	2005	Invaders, The	NA
0003512	0	1913	5364	Voyage of the Bourrichon Family, The	NA
0003424	0	1913	5915	Suspense	NA
0003973	2	1914	4457	A Florida Enchantment	NA
